URL,FullTitle,ShortTitle
https://www.youtube.com/watch?v=vuYtSDMBLtQ,Channel Introduction,Channel Introduction
https://www.youtube.com/watch?v=2B-AyWA2_ZY,Status Report,Status Report
https://www.youtube.com/watch?v=vYhErnZdnso,Where do we go now?,Where do we go now
https://www.youtube.com/watch?v=8AvIErXFoH8,What's the Use of Utility Functions?,Use of Utility Functions
https://www.youtube.com/watch?v=B6Oigy1i3W4,Predicting AI: RIP Prof. Hubert Dreyfus,Predicting AI
https://www.youtube.com/watch?v=nNB9svNBGHM,Respectability,Respectability
https://www.youtube.com/watch?v=1wAgBaJgEsg,Are AI Risks like Nuclear Risks?,Are AI Risks like Nuclear Risks?
https://www.youtube.com/watch?v=lqJUIqZNzP8,Avoiding Negative Side Effects: Concrete Problems in AI Safety part 1,Avoiding Negative Side Effects
https://www.youtube.com/watch?v=S_Sd_S8jwP0,Avoiding Positive Side Effects: Concrete Problems in AI Safety part 1.5,Avoiding Positive Side Effects
https://www.youtube.com/watch?v=gPtsgTjyEj4,Empowerment: Concrete Problems in AI Safety part 2,Empowerment
https://www.youtube.com/watch?v=eaYIU6YXr3w,Why Not Just: Raise AI Like Kids?,WNJ: Raise AI Like Kids?
https://www.youtube.com/watch?v=92qDfT8pENs,Reward Hacking: Concrete Problems in AI Safety Part 3,Reward Hacking
https://www.youtube.com/watch?v=7FCEiCnHcbo,"The other ""Killer Robot Arms Race"" Elon Musk should worry about",Killer Robot Arms Race
https://www.youtube.com/watch?v=46nsTFfsBuc,Reward Hacking Reloaded: Concrete Problems in AI Safety Part 3.5,Reward Hacking Reloaded
https://www.youtube.com/watch?v=13tZ9Yia71c,What Can We Do About Reward Hacking?: Concrete Problems in AI Safety Part 4,What Can We Do About Reward Hacking?
https://www.youtube.com/watch?v=gP4ZNUHdwp8,What can AGI do? I/O and Speed,What can AGI do?
https://www.youtube.com/watch?v=MUVbqQ3STFA,AI learns to Create ̵K̵Z̵F̵ ̵V̵i̵d̵e̵o̵s̵ Cat Pictures: Papers in Two Minutes #1,AI learns to Create Cat Pictures
https://www.youtube.com/watch?v=BfcJymyTiu0,AI Safety at EAGlobal2017 Conference,AI Safety at EAGlobal2017
https://www.youtube.com/watch?v=nr1lHuFeq5w,Scalable Supervision: Concrete Problems in AI Safety Part 5,Scalable Supervision
https://www.youtube.com/watch?v=hEUO6pjwFOo,Intelligence and Stupidity: The Orthogonality Thesis,The Orthogonality Thesis
https://www.youtube.com/watch?v=_UzX3L7lXhw,Superintelligence Mod for Civilization V,Superintelligence Mod for Civilization V
https://www.youtube.com/watch?v=ZeecOKBus3Q,Why Would AI Want to do Bad Things? Instrumental Convergence,Instrumental Convergence
https://www.youtube.com/watch?v=HOJ1NVtlnyQ,Experts' Predictions about the Future of AI,Experts on the Future of AI
https://www.youtube.com/watch?v=CGTkoUidQ8I,AI Safety Gridworlds,AI Safety Gridworlds
https://www.youtube.com/watch?v=WM2THPzFSNk,Friend or Foe? AI Safety Gridworlds extra bit,AI Safety Gridworlds 2
https://www.youtube.com/watch?v=V527HCWfBCU,Safe Exploration: Concrete Problems in AI Safety Part 6,Safe Exploration
https://www.youtube.com/watch?v=L5pUA3LsEaw,Why Not Just: Think of AGI Like a Corporation?,WNJ: Think of AGI like a Corporation?
https://www.youtube.com/watch?v=v9M2Ho9I9Qo,How to Keep Improving When You're Better Than Any Teacher - Iterated Distillation and Amplification,Iterated Distillation and Amplification
https://www.youtube.com/watch?v=yQE9KAbFhNY,A Response to Steven Pinker on AI,Steven Pinker on AI
https://www.youtube.com/watch?v=JRuNA2eK7w0,Is AI Safety a Pascal's Mugging?,Pascal's Mugging
https://www.youtube.com/watch?v=Ao4jwLwT36M,AI That Doesn't Try Too Hard - Maximizers and Satisficers,Maximizers and Satisficers
https://www.youtube.com/watch?v=PYylPRX6z4Q,"Training AI Without Writing A Reward Function, with Reward Modelling",Reward Modeling
https://www.youtube.com/watch?v=nKJlF-olKmg,9 Examples of Specification Gaming,Specification Gaming
https://www.youtube.com/watch?v=9i1WlcCudpU,10 Reasons to Ignore AI Safety,10 Reasons to Ignore AI Safety
https://www.youtube.com/watch?v=7i_f4Kbpgn4,Sharing the Benefits of AI: The Windfall Clause,The Windfall Clause
https://www.youtube.com/watch?v=gdKMG6kTl6Y,Quantilizers: AI That Doesn't Try Too Hard,Quantilizers
https://www.youtube.com/watch?v=bJLcIBixGj8,The OTHER AI Alignment Problem: Mesa-Optimizers and Inner Alignment,Mesa-Optimizers
https://www.youtube.com/watch?v=PN-rC1PRuN0,MAXIMUM OVERGEORGIA,MAXIMUM OVERGEORGIA
https://www.youtube.com/watch?v=G-uwV_15Q2Y,PC Build Video!,PC Build
https://www.youtube.com/watch?v=Sz0133VZd7E,untitled2,untitled2
https://www.youtube.com/watch?v=yjwGE8g82iU,Reading and Commenting On Pinker's Article,Reading and Commening on Pinker
https://www.youtube.com/watch?v=CGgoQR3KRV4,Don't Fear The Terminator - Yann LeCun on Facebook,Yann LeCun on Facebook
https://www.youtube.com/watch?v=yd17cvwpi2M,Much Better Stampy Test Video,Much Better Stampy Test Video
